Date,Week,AwayTeam,AwayPts,HomeTeam,HomePts,KickOffTime,Attendance,Winner
Mon Sep 02,10, Edmonton,34, Calgary,37,17:00:00,32217,Calgary
Tue Sep 03,10, Montreal,20, Toronto,9,19:30:00,18863,Montreal
Fri Sep 06,11, Calgary,22, Edmonton,12,21:00:00,33654,Calgary
Sat Sep 07,11, BC,29, Hamilton,37,16:00:00,13101,Hamilton
Sun Sep 08,11, Toronto,37, Montreal,30,13:00:00,23911,Toronto
Sun Sep 08,11, Saskatchewan,13, Winnipeg,25,16:00:00,33500,Winnipeg
Fri Sep 13,12, Hamilton,0, Calgary,0,21:00:00,,
Sat Sep 14,12, Winnipeg,0, Edmonton,0,18:30:00,,
Sat Sep 14,12, Toronto,0, Saskatchewan,0,21:30:00,,
Sun Sep 15,12, Montreal,0, BC,0,16:30:00,,
Fri Sep 20,13, Edmonton,0, Winnipeg,0,20:00:00,,
Sat Sep 21,13, Montreal,0, Hamilton,0,16:00:00,,
Sat Sep 21,13, Toronto,0, Calgary,0,19:30:00,,
Sun Sep 22,13, BC,0, Saskatchewan,0,16:30:00,,
Fri Sep 27,14, BC,0, Winnipeg,0,20:00:00,,
Sat Sep 28,14, Calgary,0, Hamilton,0,18:00:00,,
Sat Sep 28,14, Toronto,0, Edmonton,0,21:00:00,,
Sun Sep 29,14, Saskatchewan,0, Montreal,0,13:00:00,,
Fri Oct 04,15, Hamilton,0, Toronto,0,19:00:00,,
Fri Oct 04,15, Saskatchewan,0, BC,0,22:00:00,,
Sat Oct 05,15, Montreal,0, Edmonton,0,15:30:00,,
Sat Oct 05,15, Winnipeg,0, Calgary,0,18:30:00,,
Fri Oct 11,16, BC,0, Calgary,0,21:00:00,,
Sat Oct 12,16, Edmonton,0, Saskatchewan,0,16:30:00,,
Mon Oct 14,16, Winnipeg,0, Montreal,0,13:00:00,,
Mon Oct 14,16, Toronto,0, Hamilton,0,16:30:00,,
Fri Oct 18,17, Calgary,0, Edmonton,0,21:00:00,,
Sat Oct 19,17, Toronto,0, Winnipeg,0,15:30:00,,
Sat Oct 19,17, BC,0, Saskatchewan,0,19:00:00,,
Sun Oct 20,17, Hamilton,0, Montreal,0,13:00:00,,
Thu Oct 24,18, Winnipeg,0, Toronto,0,19:30:00,,
Fri Oct 25,18, Edmonton,0, BC,0,22:00:00,,
Sat Oct 26,18, Montreal,0, Hamilton,0,13:00:00,,
Sat Oct 26,18, Saskatchewan,0, Calgary,0,19:00:00,,
Fri Nov 01,19, Montreal,0, Toronto,0,19:00:00,,
Fri Nov 01,19, Calgary,0, BC,0,22:00:00,,
Sat Nov 02,19, Hamilton,0, Winnipeg,0,14:00:00,,
Sat Nov 02,19, Edmonton,0, Saskatchewan,0,17:00:00,,
Wed Jun 12, Pre-Season A, Toronto,24, Winnipeg,6,20:00:00,28642,
Thu Jun 13, Pre-Season A, Hamilton,33, Montreal,26,19:00:00,20514,
Fri Jun 14, Pre-Season A, Saskatchewan,31, Edmonton,24,21:00:00,26623,
Fri Jun 14, Pre-Season A, BC,29, Calgary,27,21:00:00,26328,
Thu Jun 20, Pre-Season B, Montreal,20, Toronto,24,19:00:00,6204,
Thu Jun 20, Pre-Season B, Winnipeg,0, Hamilton,52,19:00:00,12732,
Thu Jun 20, Pre-Season B, Calgary,24, Saskatchewan,23,22:00:00,32003,
Fri Jun 21, Pre-Season B, Edmonton,27, BC,22,22:00:00,26733,
